"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Reqres API","Users Endpoint","GET /api/users?page=1","0","0","4","0","0"
"Reqres API","Resource Endpoint","GET /api/resources?page=1","1","0","4","0","0"
"Reqres API","Resource Endpoint","GET /api/resources/1","0","0","1","0","0"
"Reqres API","Users Endpoint","POST /api/login","0","0","2","0","0"
"Reqres API","Users Endpoint","GET /api/users/1","0","0","1","0","0"
"Reqres API","Users Endpoint","DELETE /api/users/{id}","0","0","1","0","0"
"Reqres API","Users Endpoint","GET /api/users/23","0","0","1","0","0"
"Reqres API","Users Endpoint","POST /api/users","0","0","1","0","0"
"Reqres API","Users Endpoint","GET /api/users?delay=3","0","0","1","0","0"
"Reqres API","Users Endpoint","POST /api/register","0","0","2","0","0"
"Reqres API","Users Endpoint","GET /api/users","0","0","1","0","0"
"Reqres API","Users Endpoint","PUT /api/users/{id}","0","0","1","0","0"
"Reqres API","Users Endpoint","PATCH /api/users/{id}","0","0","1","0","0"
"Reqres API","Resource Endpoint","GET /api/resources/23","0","0","1","0","0"
